POP	Inversion	Type	CHR	StartNonRecombining	EndOutside	StartInside	EndInside	StartOutside	EndNonRecombining	SizeInside	SizeUsable	Len	ncd1_rawp_0.5	ncd1_rawp_0.4	ncd1_rawp_0.3	ncd2_rawp_0.5	ncd2_rawp_0.4	ncd2_rawp_0.3	ncd1_corp_0.5	ncd1_corp_0.4	ncd1_corp_0.3	ncd2_corp_0.5	ncd2_corp_0.4	ncd2_corp_0.3
ACB	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.0381397036037999	0.023434649241001	0.00575325474076185	0.29570796748174	0.309689041359023	0.316016798878593	0.155778894472362	0.10251256281407	0.0361809045226131	0.8	0.814070351758794	0.825125628140704
ASW	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.106570411098542	0.0779876041334601	0.0310051823411092	0.230265054957974	0.225501659820585	0.20890027651761	0.318413021363174	0.261444557477111	0.128179043743642	0.72736520854527	0.723296032553408	0.684638860630722
BEB	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.801756231698007	0.772072725615384	0.677731483415688	0.284903986298284	0.303451947290661	0.307918563313614	0.904972375690608	0.883977900552486	0.833149171270718	0.788950276243094	0.811049723756906	0.819889502762431
CDX	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.900673444725674	0.888850695567777	0.846501703237102	0.208807076564402	0.226688419871657	0.23454230129688	0.92749658002736	0.923392612859097	0.898768809849521	0.748290013679891	0.777017783857729	0.79343365253078
CEU	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.0952553779374618	0.0597213229862941	0.0125641750485587	0.070868747853943	0.0727578776030997	0.0691762858653841	0.21461716937355	0.140371229698376	0.037122969837587	0.342227378190255	0.348027842227378	0.349187935034803
CHB	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	1	1	1	0.504310322402751	0.523847542529942	0.5270583235185	1	1	1	0.965186074429772	0.97358943577431	0.975990396158463
CHS	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.984913699167502	0.984726278167633	0.983370744889509	0.148031684752184	0.16189646874583	0.167760319844966	0.992287917737789	0.992287917737789	0.992287917737789	0.595115681233933	0.633676092544987	0.649100257069409
CLM	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.163491918074338	0.118299025376847	0.0428268064824537	0.14068051839548	0.14234789787251	0.132778866333138	0.390115667718191	0.31335436382755	0.150368033648791	0.565720294426919	0.570977917981073	0.541535226077813
ESN	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.0500207598138036	0.0351268057458731	0.0131976071023965	0.218098429918121	0.223803378415941	0.226665184208645	0.190524193548387	0.150201612903226	0.0776209677419355	0.700604838709677	0.706653225806452	0.710685483870968
FIN	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.0453256594454256	0.0273253264099479	0.00801278668608592	0.114068030292625	0.112195725345475	0.106763952627713	0.119214586255259	0.0771388499298738	0.0238429172510519	0.542776998597475	0.538569424964937	0.527349228611501
